sectionID;Name;Title;x;y;time;delay
1;;credits_SAPKOWSKI;94;590;8;2
;;;;;;
2;ADAM BADOWSKI;credits_STUDIO_HEAD;212;360;7;2
;;;;;;
3;JOHN MAMAIS;credits_SENIOR_EXECUTIVE_PRODUCER;566;338;6;2
;;;;;;
4;KONRAD TOMASZKIEWICZ;credits_GAME_DIRECTOR;962;360;7;2
4;PIOTR KRZYWONOSIUK;credits_EXECUTIVE_PRODUCER;962;360;7;2
;;;;;;
;;;;;;
5;MARCIN BLACHA;credits_STORY_DIRECTOR;1122;376;6;2
5;BORYS PUGACZ-MURASZKIEWICZ;credits_ENGLISH_ADAPTATION_DIRECTOR;1122;376;6;2
5;PAWEŁ SASKO;credits_LEAD_QUEST_DESIGNER;1122;376;6;2
5;MATEUSZ TOMASZKIEWICZ;credits_LEAD_QUEST_DESIGNER;1122;376;6;2
5;BARTOSZ OCHMAN;credits_LIVING_WORLD_LEAD_DESIGNER;1122;376;6;2
;;;;;;
6;LUCJAN WIĘCEK;credits_ENVIRONMENT_ART_DIRECTOR;222;360;6;2
6;PAWEŁ MIELNICZUK;credits_CHARACTER_ART_DIRECTOR;222;360;6;2
6;STEEVE KNIEBIHLY;credits_CINEMATICS_DIRECTOR;222;360;6;2
6;PAWEŁ ŚWIERCZYŃSKI;credits_CINEMATICS_DIRECTOR;222;360;6;2
6;SEBASTIAN KALEMBA;credits_LEAD_ANIMATOR;222;360;6;2
6;MARCIN PRZYBYŁOWICZ;credits_MUSIC_DIRECTOR;222;360;6;2
;;;;;;
7;DOMINIKA GONSIEROWSKA;credits_SENIOR_QUEST_AND_STORY_PRODUCER;1117;537;7;2
7;MIKOŁAJ JASTRZĘBSKI-SZWED;credits_SENIOR_LOCALIZATION_PRODUCER;1117;537;7;2
7;MICHAŁ STEC;credits_SENIOR_ENVIRONMENT_PRODUCER;1117;537;7;2
7;BARTŁOMIEJ MISZKURKA;credits_SENIOR_TECHNICAL_PRODUCER;1117;537;7;2
7;MAREK MARKUSZEWSKI;credits_PROJET_MANAGER_PRODUCER;1117;537;7;2
;;;;;;
8;JAN STRZYŻEWSKI;credits_ANIMATIONS_AND_GAMEPLAY_PRODUCER;1152;319;7;2
8;PAWEŁ WILKOS;credits_POSTPRODUCTION_PRODUCER;1152;319;7;2
8;MARCIN JEFIMOW;credits_CHARACTERS_LIVING_WORLD_ASSOCIATE_PRODUCER;1152;319;7;2
8;AGNIESZKA PIECHNIK;credits_CINEMATICS_PRODUCER;1152;319;7;2
8;STAN JUST;credits_CINEMATICS_AUDIO_PRODUCER;;1152;319;7;2
8;OLEK LEBIEDOWICZ;credits_QUEST_STORY_ASSOCIATE_PRODUCER;;1152;319;7;2
8;AGNIESZKA BEDNARSKA;credits_JUNIOR_PROJECT_MANAGER;;1152;319;7;2
;;;;;;
9;ROBERT WATSON;credits_QA_DIRECTOR;212;661;6;2
9;PRZEMYSŁAW WÓJCIK;credits_GAME_QA_LEAD;212;661;6;2
9;JAKUB KUTRZUBA;credits_ENGINE_QA_LEAD;212;661;6;2
;;;;;;
10;GRZEGORZ MOCARSKI;credits_DIRECTOR_OF_GAME_PROGRAMMING;120;370;5;1
10;KRZYSZTOF KRZYŚCIN;credits_TECHNICAL_ART_DIRECTOR;120;370;5;1
10;TOMASZ JONARSKI;credits_ENGINE_TECHNICAL_DIRECTOR;120;370;5;1
10;PIOTR TOMSIŃSKI;credits_ANIMATION_TECHNICAL_DIRECTOR;120;270;5;1
;;;;;;
11;;SCROLLING;;;;
11;;CD PROJEKT RED;;;;
11;;;;;;
11;;;;;;
11;;credits_WRITERS;;;;
11;ARKADIUSZ BOROWIK;;;;;
11;JAKUB SZAMAŁEK;;;;;
11;KAROLINA STACHYRA;;;;;
11;MICHAŁ GAŁEK;;;;;
11;ALEKSANDRA MOTYKA;;;;;
11;TOMASZ MARCHEWKA;;;;;
11;MAGDALENA ZYCH;;;;;
11;;;;;;
11;;credits_QUEST_DESIGNERS;;;;
11;JOANNA RADOMSKA;;;;;
11;DANISZ MARKIEWICZ;;;;;
11;PHILIPP WEBER;;;;;
11;BŁAŻEJ AUGUSTYNEK;;;;;
11;MACIEJ DUDA;;;;;
11;SARAH GRÜMMER;;;;;
11;PATRICK K. MILLS;;;;;
11;ANISH ANTONY;;;;;
11;OLEK LEBIEDOWICZ;;;;;
11;ALEXANDRE BOIRET;;;;;
11;RAFAŁ JANKOWSKI;;;;;
11;GRZEGORZ SADZIŃSKI;;;;;
11;;;;;;
11;;credits_LIVING_WORLD_DESIGNERS;;;;
11;ARNOLD HAPONIK;;;;;
11;MACIEJ NAKONIECZNY;;;;;
11;ANTONI STRZAŁKOWSKI;;;;;
11;PRZEMYSŁAW SAWICKI;;;;;
11;;;;;;
11;;credits_GAME_DESIGN_COORDINATOR_ACTION_TEAM;;;;
11;PAWEŁ KAPAŁA;;;;;
11;;;;;;
11;;credits_GAME_DESIGNERS_ACTION_TEAM;;;;
11;ANDRZEJ KWIATKOWSKI;;;;;
11;ŁUKASZ WNĘK;;;;;
11;WOJCIECH ŻEREK;;;;;
11;TOMASZ DETYNA;;;;;
11;;;;;;
11;;credits_GAME_DESIGN_COORDINATOR_RPG_TEAM;;;;
11;TOMASZ KOZERA;;;;;
11;;;;;;
11;;credits_GAME_DESIGNERS_RPG_TEAM;;;;
11;MARCIN JANISZEWSKI;;;;;
11;MATTHEW STEINKE;;;;;
11;MIKOŁAJ BŁASZCZAK;;;;;
11;ANDRZEJ ZAWADZKI;;;;;
11;;;;;;
11;;credits_UI_TEAM_COORDINATOR;;;;
11;DAN MARIAN VOINESCU;;;;;
11;;;;;;
11;;credits_UI_TEAM;;;;
11;PAWEŁ MARKOWSKI;;;;;
11;YAROSLAV GETSEVICH;;;;;
11;;;;;;
11;;credits_ENVIRONMENT_ART_TEAM_COORDINATORS;;;;
11;DANIEL OLEJNIK;;;;;
11;KACPER NIEPOKÓLCZYCKI;;;;;
11;;;;;;
11;;credits_ENVIRONMENT_ARTISTS;;;;
11;MICHAŁ BUCZKOWSKI;;;;;
11;MARCIN MICHALSKI;;;;;
11;KRZYSZTOF KORNATKA;;;;;
11;MARK FOREMAN;;;;;
11;MICHAŁ JANISZEWSKI;;;;;
11;ŁUKASZ ŁAKOMSKI;;;;;
11;SEBASTIAN NOWAK;;;;;
11;MACIEJ CAPUTA;;;;;
11;KRZYSZTOF OLBORSKI;;;;;
11;FRANCISCO JAVIER PINTOR GALLARDO;;;;;
11;ALEKSEY IVANOV;;;;;
11;JAKUB WICHNOWSKI;;;;;
11;JACEK MAJ;;;;;
11;;;;;;
11;;credits_VFX_COORDINATOR;;;;
11;JOSÉ TEIXEIRA;;;;;
11;;;;;;
11;;credits_VFX_ARTISTS;;;;
11;PAWEŁ KWIATEK;;;;;
11;KONRAD ZIOMEK;;;;;
11;PIOTR SUCHODOLSKI;;;;;
11;;;;;;
11;;credits_DECORATIONS_COORDINATOR;;;;
11;LEN DE GRACIA;;;;;
11;;;;;;
11;;credits_DECORATIONS_ARTISTS;;;;
11;SIMON BESOMBES;;;;;
11;JOANNA KRÓLAK;;;;;
11;MONIKA KUNICKA;;;;;
11;MIŁOSZ RĄPAŁA;;;;;
11;;;;;;
11;;credits_LIGHTING_ART_COORDINATOR;;;;
11;KAMIL GRZELAK;;;;;
11;;;;;;
11;;credits_LIGHTING_ARTISTS;;;;
11;KRZYSZTOF OLBORSKI;;;;;
11;NORBERT NAROŻNIK;;;;;
11;;;;;;
11;;credits_LEVEL_DESIGN_COORDINATOR;;;;
11;MILES TOST;;;;;
11;;;;;;
11;;credits_LEVEL_DESIGNERS;;;;
11;ADAM WROTEK;;;;;
11;MICHAŁ STELMACHOWICZ;;;;;
11;;;;;;
11;;credits_CONCEPT_ART_COORDINATOR;;;;
11;MAREK MADEJ;;;;;
11;;;;;;
11;;credits_CONCEPT_ARTISTS;;;;
11;MARTA DETTLAFF;;;;;
11;GRZEGORZ SIEMCZUK;;;;;
11;ALICJA UŻAROWSKA;;;;;
11;ZUZANNA KAPUŚCIŃSKA;;;;;
11;;;;;;
11;;credits_CHARACTER_ART_COORDINATOR;;;;
11;DOMINIK MILECKI;;;;;
11;;;;;;
11;;credits_CHARACTER_ARTISTS;;;;
11;BILL DALY;;;;;
11;MARCIN BŁASZCZAK;;;;;
11;GRZEGORZ CHOJNACKI;;;;;
11;MARCIN KLICKI;;;;;
11;GRZEGORZ MAGIERA;;;;;
11;OVIDIU-TIBERIU VOICA;;;;;
11;SEBASTIAN BĄKAŁA;;;;;
11;ANTONIO JOSE GONZALEZ BENITEZ;;;;;
11;WOJCIECH MICHALSKI;;;;;
11;TOMASZ STRYJEWSKI;;;;;
11;DAVID YABLONSKY;;;;;
11;MACIEJ PĄCZKOWSKI;;;;;
11;;;;;;
11;;credits_ADDITIONAL_CINEMATIC_DIRECTOR;;;;
11;JAKUB BEN;;;;;
11;;;;;;
11;;credits_CINEMATIC_ART_COORDINATOR;;;;
11;MACIEJ PIETRAS;;;;;
11;;;;;;
11;;credits_CINEMATIC_ART_TEAM;;;;
11;ARTUR BIELENICA;;;;;
11;MARTYNA MAREK;;;;;
11;PIOTR JANISZEWSKI;;;;;
11;PAWEŁ ŚWIERCZYŃSKI;;;;;
11;ANETA PASŁAWSKA;;;;;
11;PIOTR KRYSIK;;;;;
11;RYAN SEQUEIRA;;;;;
11;;;;;;
11;;credits_CINEMATIC_DESIGN_COORDINATOR;;;;
11;KAJETAN KAPUŚCIŃSKI;;;;;
11;;;;;;
11;;credits_CINEMATIC_DESIGN_TEAM;;;;
11;BARTOSZ NOWAK;;;;;
11;PAWEŁ OCHOCKI;;;;;
11;IGOR SARZYŃSKI;;;;;
11;KRIS CHO;;;;;
11;ANDRZEJ STOPA;;;;;
11;KACPER SZYMCZAK;;;;;
11;ŁUKASZ ŚLIWA;;;;;
11;;;;;;
11;;credits_CHARACTER_ANIMATORS;;;;
11;TYCJAN BARTUŚ;;;;;
11;JAMIE LEE BURY;;;;;
11;MICHAŁ CZERNIEC;;;;;
11;DMYTRO ISHCHENKO;;;;;
11;DARIA ZAWADA;;;;;
11;ALEXANDROS MIARIS;;;;;
11;LUCIE SCHAAR;;;;;
11;MARTA ZDUNEK;;;;;
11;NATALIA FAŁOWSKA;;;;;
11;WERONIKA RAJSZYS;;;;;
11;;;;;;
11;;credits_MOTION_CAPTURE_SPECIALIST;;;;
11;MATEUSZ GOLIK;;;;;
11;;;;;;
11;;credits_SOUND_DESIGN_TEAM_COORDINATOR;;;;
11;KRZYSZTOF LIPKA;;;;;
11;;;;;;
11;;credits_SENIOR_SOUND_DESIGNER;;;;
